symbol,bidPrice,bidQty,askPrice,askQty
BNBUSDC,388.6,3.86,388.8,4.757
BNBDAI,388.5,1.286,389.0,1.286
BNBUSDP,388.46,1.029,389.85,120.699
BNBBUSD,388.3,16.112,388.4,118.12
BNBUST,386.3,0.863,387.5,5.146
AVAXBRL,384.8,13.21,385.5,13.21
KP3RBUSD,371.69,0.71,372.22,0.65
KP3RUSDT,370.08,1.36,370.91,0.34
BNBEUR,355.9,0.373,356.1,0.406
NEOTRY,304.8,34.42,305.6,67.87
GNOBUSD,303.3,0.997,303.8,0.9
GNOUSDT,303.2,1.493,303.6,0.678
BNBGBP,296.3,7.09,296.8,3.897
BCHBUSD,290.3,0.425,290.4,1.333
BCHUSDT,290.3,12.63,290.4,3.0
BCHUSDC,290.1,6.895,290.7,5.0
BCHEUR,266.2,0.688,266.5,0.346
SLPBIDR,259.8,223.0,260.4,22166.0
DOTTRY,252.1,26.97,252.5,51.82
ICPTRY,248.6,39.13,248.9,58.394
AXSBRL,239.7,14.9,240.3,23.25
XMRBUSD,200.4,22.38,200.6,0.05
XMRUSDT,200.2,2.28,200.3,100.704
LINKTRY,193.6,63.77,193.9,37.43
MATICRUB,182.35,0.7,183.0,203.6
FTMRUB,168.9,4.3,170.2,2428.1
BNBUPUSDT,165.23,3.15,165.75,0.21
XRPNGN,165.0,5.15,350.0,3.2
QUICKBUSD,158.1,1.67,158.4,1.894
QUICKUSDT,157.9,2.45,158.2,0.267
ATOMBRL,149.0,103.246,149.3,13.938
NEARTRY,145.7,99.527,145.9,40.036
ZECBUSD,138.1,2.286,138.2,1.824
ZECUSDT,138.0,0.945,138.1,43.302
ZECUSDC,137.8,14.516,138.2,14.474
EGLDUSDT,135.64,2.3,135.68,6.53
EGLDBUSD,135.62,4.43,135.73,1.41
KSMUSDT,129.3,33.761,129.4,7.444
KSMBUSD,129.2,20.268,129.5,0.819
REEFBIDR,125.7,200333.0,126.3,245877.0
AAVEBUSD,125.1,3.505,125.3,18.751
AAVEUSDT,125.1,77.429,125.2,37.595
LUNAAUD,125.09,0.23,125.2,13.17
EGLDEUR,124.26,11.06,124.38,20.98
BUSDRUB,123.56,2.0,123.68,21.0
USDTRUB,123.56,3518.0,123.67,100.0
SOLAUD,115.75,17.8,115.92,82.103
QNTUSDT,114.6,18.955,114.8,10.723
QNTBUSD,114.6,10.208,114.9,0.187
ALCXBUSD,110.9,0.3079,111.1,0.0901
ALCXUSDT,110.8,0.4499,111.0,0.2343
COMPBUSD,107.8,1.3,107.9,4.172
COMPUSDT,107.8,98.52,107.9,5.402
AVAXAUD,103.88,13.21,104.2,26.4
LTCUSDC,102.9,2.916,103.1,9.721
LTCUSDT,102.9,685.46,103.0,847.684
LTCBUSD,102.8,75.792,102.9,26.311
DASHBUSD,100.7,29.092,100.8,3.966
DASHUSDT,100.4,160.648,100.5,60.975
ADARUB,100.02,414.5,100.65,739.3
LTCEUR,94.4,7.77,94.5,14.496
ALGORUB,92.7,70.0,93.4,132.8
LUNABUSD,90.65,85.55,90.66,31.93
LUNAUSDT,90.63,42.86,90.64,85.73
LUNAUST,90.33,22.03,90.5,22.03
XRPRUB,90.04,1646.0,90.33,1234.0
ALICETRY,89.8,241.74,90.0,274.24
FARMBUSD,88.4,4.14,88.5,4.88
FARMUSDT,88.4,10.37,88.5,3.8
DOTBRL,88.39,28.77,88.53,13.59
SOLUSDC,84.28,32.46,84.37,0.54
SOLBUSD,84.18,13.98,84.19,26.81
SOLUSDT,84.16,199.72,84.17,1.05
LUNAEUR,83.3,21.95,83.37,45.46
LTCGBP,78.56,1.94,78.74,1.94
SOLEUR,77.11,33.25,77.18,11.04
INJTRY,77.0,150.53,77.35,150.6
API3TRY,76.72,132.23,76.94,132.21
AVAXUSDT,75.57,8.4,75.58,38.45
AVAXBUSD,75.57,6.31,75.59,6.42
AVAXEUR,69.32,13.21,69.41,8.74
LINKBRL,67.8,320.02,67.9,37.46
AXSAUD,64.78,31.44,64.88,8.49
SOLGBP,64.22,11.88,64.3,20.74
MOVRBUSD,53.4,10.341,53.6,12.682
ALPINETRY,53.4,271.48,53.61,113.41
MOVRUSDT,53.3,69.507,53.4,3.64
DCRUSDT,53.3,157.941,53.4,16.725
TORNUSDT,52.66,4.32,52.69,14.73
TORNBUSD,52.63,0.23,52.7,0.19
MLNBUSD,52.4,3.646,52.5,11.593
MLNUSDT,52.4,6.306,52.5,1.03
SANTOSTRY,49.69,133.79,49.74,100.0
AXSBUSD,47.11,10.45,47.15,5.5
AXSUSDT,47.11,14.33,47.13,25.25
CREAMBUSD,45.3,0.693,45.4,2.583
XTZTRY,44.23,784.15,44.36,163.74
PORTOTRY,43.18,202.37,43.36,156.09
LAZIOTRY,42.605,23.47,42.648,50.27
SANDTRY,41.73,2337.2,41.77,969.6
BNXUSDT,41.2,11.252,41.3,135.066
FTTBUSD,41.18,7.42,41.22,7.84
FTTUSDT,41.11,61.92,41.12,90.2
BNXBUSD,41.1,12.154,41.3,51.27
ZENUSDT,40.3,10.87,40.32,24.78
ZENBUSD,40.09,0.49,40.2,37.08
BTCUPUSDT,36.048,7.91,36.085,0.55
MANATRY,35.17,1198.7,35.22,1447.1
ARUSDT,34.35,116.91,34.37,3.2
